"ano";"mes";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"porte_de_empresa";"regiao";"uf";"municipio";"municipio_codigo";"setor_cnae";"subsetor_cnae_agrupado";"setor_bndes";"subsetor_bndes";"desembolsos_reais"
2026;3;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"PEQUENA";"SUL";"PARANA";"SAO PEDRO DO IVAI";4125803;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"405000,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"NÃO";"MÉDIA";"NORDESTE";"PERNAMBUCO";"CARUARU";2604106;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"405000,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"SEBERI";4320206;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"405000,0"
2026;2;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"SANTA MARIA";4316907;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"405000,0"
2026;3;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"PEQUENA";"SUDESTE";"SAO PAULO";"ITATIBA";3523404;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"405000,0"
2026;2;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"MÉDIA";"SUDESTE";"MINAS GERAIS";"SAO LOURENCO";3163706;"INDÚSTRIA DE TRANSFORMAÇÃO";"GRÁFICA";"INDUSTRIA";"OUTRAS";"404905,56"
2026;1;"DIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"GRANDE";"SUL";"PARANA";"CURITIBA";4106902;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"404843,77"
2026;3;"INDIRETA";"BNDES FINAME";"BK AQUISIÇÃO E COMERCIALIZAÇÃO – ÔNIBUS E CAMINHÃO";"NÃO";"MÉDIA";"SUDESTE";"MINAS GERAIS";"ITAGUARA";3132206;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"404800,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"LAGOA DOS TRES CANTOS";4311270;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"404787,52"
2026;2;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"MÉDIA";"SUL";"SANTA CATARINA";"CHAPECO";4204202;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"404500,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"UBIRETAMA";4322343;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"404500,0"
2026;2;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"MÉDIA";"SUL";"RIO GRANDE DO SUL";"SAO BORJA";4318002;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"404435,85"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PROCAPCRED";"NÃO";"MICRO";"NORTE";"RONDONIA";"JI-PARANA";1100122;"COMÉRCIO E SERVIÇOS";"ATIV FINANCEIRA E SEGURO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"404242,0"
2026;2;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"PEQUENA";"SUDESTE";"SAO PAULO";"RIO DAS PEDRAS";3544004;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"404000,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"SANTA ROSA";4317202;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"404000,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"MICRO";"SUL";"PARANA";"REALEZA";4121406;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403882,84"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"SERTAO";4320503;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403811,5"
2026;3;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"PEQUENA";"NORDESTE";"MARANHAO";"MIRADOR";2106706;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403750,0"
2026;1;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"PEQUENA";"SUL";"SANTA CATARINA";"DESCANSO";4204905;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403750,0"
2026;1;"INDIRETA";"BNDES FINAME";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"NÃO";"MÉDIA";"SUDESTE";"SAO PAULO";"JARDINOPOLIS";3525102;"INDÚSTRIA EXTRATIVA";"INDÚSTRIA EXTRATIVA";"INDUSTRIA";"EXTRATIVA";"403750,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"MICRO";"SUL";"PARANA";"SERRANOPOLIS DO IGUACU";4126355;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403700,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"SANTO EXPEDITO DO SUL";4317954;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403505,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"PEQUENA";"SUDESTE";"MINAS GERAIS";"PORTEIRINHA";3152204;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403329,85"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"IPE";4310439;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403324,16"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"JABOTICABA";4310850;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"403049,31"
2026;3;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"PEQUENA";"CENTRO OESTE";"GOIAS";"ACREUNA";5200134;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402990,0"
2026;3;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"PEQUENA";"SUL";"PARANA";"BARBOSA FERRAZ";4102505;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402900,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"NOVA ARACA";4312807;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402782,02"
2026;3;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"MÉDIA";"SUL";"SANTA CATARINA";"LAURENTINO";4209508;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"402500,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP CUSTEIO";"NÃO";"PEQUENA";"SUL";"PARANA";"BARBOSA FERRAZ";4102505;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402388,69"
2026;2;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES MAIS INOVAÇÃO";"SIM";"MÉDIA";"NORDESTE";"BAHIA";"LUIS EDUARDO MAGALHAES";2919553;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"402300,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"SANTA CATARINA";"CHAPECO";4204202;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402125,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"PEQUENA";"SUL";"PARANA";"LAPA";4113205;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402000,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA CRÉDITO AGROPECUÁRIO EMPRESARIAL INVESTIMENTO";"NÃO";"PEQUENA";"SUDESTE";"SAO PAULO";"ASPASIA";3503950;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"402000,0"
2026;2;"INDIRETA";"BNDES FINAME";"BK AQUISIÇÃO E COMERCIALIZAÇÃO – ÔNIBUS E CAMINHÃO";"NÃO";"MÉDIA";"CENTRO OESTE";"DISTRITO FEDERAL";"BRASILIA";5300108;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"402000,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP INVESTIMENTO";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"CARAZINHO";4304705;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"401968,75"
2026;1;"DIRETA";"BNDES NÃO REEMBOLSÁVEL";"PROGRAMA BNDES FUST";"SIM";"PEQUENA";"NORTE";"ACRE";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"TELECOMUNICAÇÕES";"INFRAESTRUTURA";"TELECOMUNICAÇÕES";"401370,8"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"SAO SEBASTIAO DO CAI";4319505;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"401361,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"SANTO AUGUSTO";4317806;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"401185,94"
2026;1;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"PEQUENA";"NORDESTE";"CEARA";"IGUATU";2305506;"INDÚSTRIA DE TRANSFORMAÇÃO";"QUÍMICA";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"401063,28"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"RESTINGA SECA";4315503;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"401000,44"
2026;3;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"MÉDIA";"SUL";"SANTA CATARINA";"ASCURRA";4201703;"INDÚSTRIA DE TRANSFORMAÇÃO";"PRODUTOS ALIMENTÍCIOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"401000,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUDESTE";"ESPIRITO SANTO";"BREJETUBA";3201159;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"400969,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP INVESTIMENTO";"NÃO";"PEQUENA";"SUDESTE";"ESPIRITO SANTO";"RIO BANANAL";3204351;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"400560,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"SANTA CATARINA";"SAUDADES";4217303;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"400535,0"
2026;3;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES MAIS INOVAÇÃO";"SIM";"MICRO";"NORDESTE";"BAHIA";"GUARATINGA";2911808;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"400500,0"
2026;2;"INDIRETA";"BNDES FINAME";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"NORDESTE";"SERGIPE";"PORTO DA FOLHA";2805604;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"400500,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP CUSTEIO";"NÃO";"PEQUENA";"SUL";"PARANA";"SULINA";4126652;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"400500,0"
