"ano";"mes";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"porte_de_empresa";"regiao";"uf";"municipio";"municipio_codigo";"setor_cnae";"subsetor_cnae_agrupado";"setor_bndes";"subsetor_bndes";"desembolsos_reais"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PROGRAMA LIQUIDACAO DIVIDAS RURAIS";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"MAXIMILIANO DE ALMEIDA";4312203;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416070,18"
2026;2;"DIRETA";"BNDES FINAME";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"NÃO";"GRANDE";"NORDESTE";"CEARA";"HORIZONTE";2305233;"INDÚSTRIA DE TRANSFORMAÇÃO";"PRODUTOS ALIMENTÍCIOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"416000,0"
2026;1;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"PEQUENA";"SUDESTE";"ESPIRITO SANTO";"SAO MATEUS";3204906;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415550,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP CUSTEIO";"NÃO";"PEQUENA";"SUL";"PARANA";"SANTA MARIA DO OESTE";4123857;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415500,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAMP INVESTIMENTO";"NÃO";"MICRO";"SUL";"PARANA";"VERE";4128609;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415500,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUL";"PARANA";"NOVA ESPERANCA DO SUDOESTE";4116950;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415500,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"MACHADINHO";4311700;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415476,54"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUL";"PARANA";"NOVA AURORA";4116703;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415300,01"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"NÃO";"PEQUENA";"SUL";"PARANA";"CAMPINA GRANDE DO SUL";4104006;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"415300,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"PEQUENA";"SUL";"RIO GRANDE DO SUL";"FREDERICO WESTPHALEN";4308508;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"415200,0"
